catalog_number,item_name,item_type,price,color,image_url,link
BC-SO-001,Aarhus 3-seater sofa,sofas,"$4,899.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Aarhus_3_seater_sofa.jpg,https://www.boconcept.com/en-us/p/aarhus/4823001-9:482leg0708-14:3310/
BC-SO-002,"Aarhus 2,5-seater sofa",sofas,"$4,399.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Aarhus_25_seater_sofa.jpg,https://www.boconcept.com/en-us/p/aarhus/4822501-9:482leg0708-14:3310/
BC-SO-003,Aarhus pouf,sofas,"$1,699.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Aarhus_pouf.jpg,https://www.boconcept.com/en-us/p/aarhus/4820100-9:482leg0708-14:3310/
BC-SO-004,Milano corner sofa,sofas,"$18,390.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Milano_corner_sofa.jpg,https://www.boconcept.com/en-us/p/milano/480ah00-14:3331-21:5/
BC-SO-005,"Modena 2,5 seater",sofas,"$3,099.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Modena_25_seater.jpg,https://www.boconcept.com/en-us/p/modena/4392501-9:0075-14:3091/
BC-SO-006,Indivi 2-seater sofa,sofas,$999.00,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Indivi_2_seater_sofa.jpg,https://www.boconcept.com/en-us/p/indivi/422ab00-10:422_sofaleg_high_0708-14:3233/
BC-SO-007,Bellagio 3-seater sofa,sofas,"$5,459.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray",BoConcept_catalog/sofas/Bellagio_3_seater_sofa.jpg,https://www.boconcept.com/en-us/p/bellagio/4493001-10:416_sofaleg_1-14:3090/
BC-SO-008,Osaka sofa,sofas,"$3,079.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Osaka_sofa.jpg,https://www.boconcept.com/en-us/p/osaka/433cd22-10:40104220_2-14:3164/
BC-SO-009,"Bellagio 2,5 seater",sofas,"$2,739.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray",BoConcept_catalog/sofas/Bellagio_25_seater.jpg,https://www.boconcept.com/en-us/p/bellagio/4492001-10:416_sofaleg_1-14:2110/
BC-SO-010,Bellagio pouf,sofas,"$1,749.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray",BoConcept_catalog/sofas/Bellagio_pouf.jpg,https://www.boconcept.com/en-us/p/bellagio/4490100-10:416_sofaleg_1-14:3091/
BC-SO-011,Aarhus sofa with chaise longue right,sofas,"$8,249.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Aarhus_sofa_with_chaise_longue_right.jpg,https://www.boconcept.com/en-us/p/aarhus/482aa00-9:482leg0708-14:2063-21:5/
BC-SO-012,Amsterdam corner sofa with lounging unit,sofas,"$8,499.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Amsterdam_corner_sofa_with_lounging_unit.jpg,https://www.boconcept.com/en-us/p/amsterdam/435ba00-10:435_sofalegs_2-14:3032-21:4/
BC-SO-013,Carmo 3-seater sofa,sofas,"$4,599.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Carmo_3_seater_sofa.jpg,https://www.boconcept.com/en-us/p/carmo/4123001-10:416_sofaleg_1-14:2063/
BC-SO-014,"Amsterdam Iounging module for sofa, armrest left, open end right",sofas,"$4,349.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Amsterdam_Iounging_module_for_sofa_armrest_left_open_end_right.jpg,https://www.boconcept.com/en-us/p/amsterdam/4358100-10:435_sofalegs_2-14:3032-21:5/
BC-SO-015,Indivi sofa with chaise longue left,sofas,"$3,899.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Indivi_sofa_with_chaise_longue_left.jpg,https://www.boconcept.com/en-us/p/indivi/422ag00-10:422_sofaleg_high_0708-14:2063-21:4/
BC-SO-016,"Bergamo sofa with round lounging unit,right",sofas,"$9,849.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Bergamo_sofa_with_round_lounging_unitright.jpg,https://www.boconcept.com/en-us/p/bergamo/443ap00-14:2063-21:5/
BC-SO-017,Bolzano 2.5-seater,sofas,"$4,349.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray",BoConcept_catalog/sofas/Bolzano_25_seater.jpg,https://www.boconcept.com/en-us/p/bolzano/4462501-14:3096/
BC-SO-018,Salamanca corner sofa,sofas,"$10,890.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Salamanca_corner_sofa.jpg,https://www.boconcept.com/en-us/p/salamanca/448aj00-10:448_sofaleg_0075-14:3202-21:4/
BC-SO-019,Modena 3 seater,sofas,"$3,399.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Modena_3_seater.jpg,https://www.boconcept.com/en-us/p/modena/4393001-9:0075-14:3091/
BC-SO-020,Carmo corner sofa,sofas,"$7,899.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Carmo_corner_sofa.jpg,https://www.boconcept.com/en-us/p/carmo/412aj00-10:416_sofaleg_1-14:3165-21:4/
BC-SO-021,Taylor sofa sleeper,sofas,"$6,699.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Taylor_sofa_sleeper.jpg,https://www.boconcept.com/en-us/p/taylor/4990390-14:3142/
BC-SO-022,"Osaka sofa, tufted seat",sofas,"$4,099.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Osaka_sofa_tufted_seat.jpg,https://www.boconcept.com/en-us/p/osaka/433ad29-10:40104290_1-14:2257/
BC-SO-023,Modena corner sofa with lounging unit,sofas,"$6,759.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Modena_corner_sofa_with_lounging_unit.jpg,https://www.boconcept.com/en-us/p/modena/439ae00-9:0075-14:3091-21:4/
BC-SO-024,Taylor sofa sleeper,sofas,"$7,849.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Taylor_sofa_sleeper.jpg,https://www.boconcept.com/en-us/p/taylor/4990480-14:3143/
BC-SO-024,Modena 2 seater,sofas,"$2,649.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Modena_2_seater.jpg,https://www.boconcept.com/en-us/p/modena/4392001-9:0075-14:3091/
BC-SO-025,Modena sofa with resting unit,sofas,"$4,999.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Modena_sofa_with_resting_unit.jpg,https://www.boconcept.com/en-us/p/modena/439aa00-9:0075-14:3094-21:4/
BC-SO-026,Indivi corner sofa right,sofas,"$5,129.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Indivi_corner_sofa_right.jpg,https://www.boconcept.com/en-us/p/indivi/422ar20-10:422_sofaleg_low_0075-14:3160-21:5/
BC-SO-027,Indivi corner sofa left,sofas,"$5,869.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Indivi_corner_sofa_left.jpg,https://www.boconcept.com/en-us/p/indivi/422ao00-10:422_sofaleg_high_0708-14:2063-21:4/
BC-SO-028,Zürich sofa with resting unit,sofas,"$7,699.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Zürich_sofa_with_resting_unit.jpg,https://www.boconcept.com/en-us/p/zürich/442ad00-9:0075-14:3092-21:5/
BC-SO-029,Carmo sofa with resting unit,sofas,"$7,229.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Carmo_sofa_with_resting_unit.jpg,https://www.boconcept.com/en-us/p/carmo/412aa00-10:416_sofaleg_1-14:2063-21:4/
BC-SO-030,"Bolzano, chaise longue sofa right",sofas,"$4,199.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Bolzano_chaise_longue_sofa_right.jpg,https://www.boconcept.com/en-us/p/bolzano/4468500-14:3092-21:5/
BC-SO-031,Indivi 3-seater sofa,sofas,"$2,999.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Indivi_3_seater_sofa.jpg,https://www.boconcept.com/en-us/p/indivi/422af00-10:422_sofaleg_high_0708-14:2063/
BC-SO-032,Berne 3 seater,sofas,"$4,299.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Berne_3_seater.jpg,https://www.boconcept.com/en-us/p/berne/4453001-9:0075-14:2058/
BC-SO-033,Modena sofa with lounging unit,sofas,"$4,299.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Modena_sofa_with_lounging_unit.jpg,https://www.boconcept.com/en-us/p/modena/439aj00-9:0075-14:3092-21:5/
BC-SO-034,Salamanca 3-seater sofa,sofas,"$8,789.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray",BoConcept_catalog/sofas/Salamanca_3_seater_sofa.jpg,https://www.boconcept.com/en-us/p/salamanca/448ab00-10:448_sofaleg_0075-14:3202/
BC-SO-035,Indivi 2.5-seater sofa,sofas,"$2,699.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Indivi_25_seater_sofa.jpg,https://www.boconcept.com/en-us/p/indivi/422ac00-10:422_sofaleg_high_0708-14:2063/
BC-SO-036,Salamanca 3-seater lounge sofa,sofas,"$9,889.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Salamanca_3_seater_lounge_sofa.jpg,https://www.boconcept.com/en-us/p/salamanca/448an00-10:448_sofaleg_0075-14:3097-21:4/
BC-SO-037,Hampton corner sofa with adjustable back and storage on right side,sofas,"$11,490.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Hampton_corner_sofa_with_adjustable_back_and_storage_on_right_side.jpg,https://www.boconcept.com/en-us/p/hampton/441ak00-3:5-10:441_sofaleg_1-14:2255-21:4/
BC-SO-038,Zürich 3 seater,sofas,"$4,699.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Zürich_3_seater.jpg,https://www.boconcept.com/en-us/p/zürich/4423001-9:0075-14:3254/
BC-SO-039,Carmo 2.5-seater sofa,sofas,"$4,259.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Carmo_25_seater_sofa.jpg,https://www.boconcept.com/en-us/p/carmo/4122501-10:416_sofaleg_1-14:2063/
BC-SO-040,Bergamo corner sofa with lounging unit,sofas,"$11,490.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Bergamo_corner_sofa_with_lounging_unit.jpg,https://www.boconcept.com/en-us/p/bergamo/443an00-14:3090-21:5/
