catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
BC-CH-001,Hamilton chair,$299.00,https://www.boconcept.com/en-us/p/hamilton/402d194-9:0075-11:0137/,BoConcept_catalog/chairs/Hamilton_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '21¼ ""', 'height': '31¾ ""', 'width': '20½ ""'}",chairs
BC-CH-002,Hauge dining chair,$349.00,https://www.boconcept.com/en-us/p/hauge/402d174-9:0708-11:0136/,BoConcept_catalog/chairs/Hauge_dining_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '22½ ""', 'height': '33¾ ""', 'width': '20¼ ""'}",chairs
BC-CH-003,Seoul dining chair,$899.00,https://www.boconcept.com/en-us/p/seoul/402d201-9:0055s-11:0055/,BoConcept_catalog/chairs/Seoul_dining_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '21½ ""', 'height': '30 ""', 'width': '23¾ ""'}",chairs
BC-CH-004,Imola armchair with swivel function,"$7,599.00",https://www.boconcept.com/en-us/p/imola/cl002-9:0094-14:5152/,BoConcept_catalog/chairs/Imola_armchair_with_swivel_function.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '39 ""', 'height': '43½ ""', 'width': '37½ ""'}",chairs
BC-CH-005,Imola footstool,"$3,049.00",https://www.boconcept.com/en-us/p/imola/cl004-9:0094-14:5150/,BoConcept_catalog/chairs/Imola_footstool.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '22¼ ""', 'height': '16¼ ""', 'width': '26 ""'}",chairs
BC-CH-006,Terni chair,"$1,869.00",https://www.boconcept.com/en-us/p/terni/4061550-9:00750702-14:3200/,BoConcept_catalog/chairs/Terni_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '31½ ""', 'height': '17/30¾ ""', 'width': '25¾ ""'}",chairs
BC-CH-007,Ø lounge chair,"$5,019.00",https://www.boconcept.com/en-us/p/ø/4061600-14:3321/,BoConcept_catalog/chairs/Ø_lounge_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray","{'depth': '55 ""', 'height': '17/28 ""', 'width': '56¼ ""'}",chairs
BC-CH-008,"Nawabari ottoman, small",$899.00,https://www.boconcept.com/en-us/p/nawabari/4470100-2:352-14:3224/,BoConcept_catalog/chairs/Nawabari_ottoman_small.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '21½ ""', 'height': '17¼ ""', 'width': '21½ ""'}",chairs
BC-CH-009,Ottawa dining chair,$499.00,https://www.boconcept.com/en-us/p/ottawa/402d033-9:0075-11:0136/,BoConcept_catalog/chairs/Ottawa_dining_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '22¼ ""', 'height': '34 ""', 'width': '19¾ ""'}",chairs
BC-CH-010,Princeton chair,$499.00,https://www.boconcept.com/en-us/p/princeton/402d171-9:0128-14:3230/,BoConcept_catalog/chairs/Princeton_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '21¼ ""', 'height': '31½ ""', 'width': '20½ ""'}",chairs
BC-CH-011,Modena armchair,"$2,049.00",https://www.boconcept.com/en-us/p/modena/4391001-9:0075-14:3091/,BoConcept_catalog/chairs/Modena_armchair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '36 ""', 'height': '28¾ ""', 'width': '34¾ ""'}",chairs
BC-CH-012,Charlotte armchair,"$1,999.00",https://www.boconcept.com/en-us/p/charlotte/4061490-9:0110-14:3230/,BoConcept_catalog/chairs/Charlotte_armchair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '30¾ ""', 'height': '29¼/15¾ ""', 'width': '32¾ ""'}",chairs
BC-CH-013,Adelaide barstool,$359.00,https://www.boconcept.com/en-us/p/adelaide/402b028-2:388-9:0075-11:0137/,BoConcept_catalog/chairs/Adelaide_barstool.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '21 ""', 'height': '25/29 ""', 'width': '21 ""'}",chairs
BC-CH-014,Veneto armchair with swivel function,"$2,499.00",https://www.boconcept.com/en-us/p/veneto/c790012-9:0092-14:2063/,BoConcept_catalog/chairs/Veneto_armchair_with_swivel_function.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '30¼ ""', 'height': '29½ ""', 'width': '30¼ ""'}",chairs
BC-CH-015,Adelaide office chair,"$1,349.00",https://www.boconcept.com/en-us/p/adelaide/402d185-9:0075-14:2063/,BoConcept_catalog/chairs/Adelaide_office_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '25¾ ""', 'height': '32-35½ ""', 'width': '25¾ ""'}",chairs
BC-CH-016,Eden ottoman,$899.00,https://www.boconcept.com/en-us/p/eden/4989060-2:206-14:2063/,BoConcept_catalog/chairs/Eden_ottoman.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '15¾ ""'}",chairs
BC-CH-017,Adelaide chair,$299.00,https://www.boconcept.com/en-us/p/adelaide/402d205-9:0728-11:0137/,BoConcept_catalog/chairs/Adelaide_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '22½ ""', 'height': '34½ ""', 'width': '21½ ""'}",chairs
BC-CH-018,Hamilton office chair,$649.00,https://www.boconcept.com/en-us/p/hamilton/402d198-9:0075-11:0137/,BoConcept_catalog/chairs/Hamilton_office_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '25¾ ""', 'height': '29¼-32¾ ""', 'width': '25¾ ""'}",chairs
BC-CH-019,Seoul dining chair,$999.00,https://www.boconcept.com/en-us/p/seoul/402d200-9:0708s-14:3230/,BoConcept_catalog/chairs/Seoul_dining_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '21½ ""', 'height': '30 ""', 'width': '23¾ ""'}",chairs
BC-CH-020,Hamilton chair,$549.00,https://www.boconcept.com/en-us/p/hamilton/402d195-9:0075-14:3153/,BoConcept_catalog/chairs/Hamilton_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '21½ ""', 'height': '32¼ ""', 'width': '20¾ ""'}",chairs
BC-CH-021,Porto recliner with swivel function,"$8,949.00",https://www.boconcept.com/en-us/p/porto/4061470-3:15-9:0075-14:5152/,BoConcept_catalog/chairs/Porto_recliner_with_swivel_function.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '33½ ""', 'height': '42¾/16¾ ""', 'width': '30¾ ""'}",chairs
BC-CH-022,Princeton barstool,$899.00,https://www.boconcept.com/en-us/p/princeton/402b021-2:308-9:0075-14:2063/,BoConcept_catalog/chairs/Princeton_barstool.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '21½ ""', 'height': '34/25¾ ""', 'width': '18½ ""'}",chairs
BC-CH-021,Hauge barstool,$749.00,https://www.boconcept.com/en-us/p/hauge/402b026-2:368-9:0702-14:2063/,BoConcept_catalog/chairs/Hauge_barstool.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '18½ ""', 'height': '26½/30½ ""', 'width': '18½ ""'}",chairs
BC-CH-022,Bolzano armchair,"$3,899.00",https://www.boconcept.com/en-us/p/bolzano/4461001-14:3091/,BoConcept_catalog/chairs/Bolzano_armchair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray","{'depth': '34 ""', 'height': '28¾/16¾ ""', 'width': '35¼ ""'}",chairs
BC-CH-023,London large bench with cushion,$999.00,https://www.boconcept.com/en-us/p/london/370b011-2:140-3:8-9:0075-14:3030/,BoConcept_catalog/chairs/London_large_bench_with_cushion.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '14¾ ""', 'height': '19 ""', 'width': '63 ""'}",chairs
BC-CH-024,Sweet Art armchair with swivel function,"$4,399.00",https://www.boconcept.com/en-us/p/sweet-art/4061560-14:2063/,BoConcept_catalog/chairs/Sweet_Art_armchair_with_swivel_function.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray","{'depth': '33½ ""', 'height': '28¾/28¾ ""', 'width': '36½ ""'}",chairs
BC-CH-025,Sweet Art ottoman,"$1,349.00",https://www.boconcept.com/en-us/p/sweet-art/4989070-14:2063/,BoConcept_catalog/chairs/Sweet_Art_ottoman.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray","{'depth': '25 ""', 'height': '15½ ""', 'width': '25 ""'}",chairs
BC-CH-026,Vienna dining chair,$999.00,https://www.boconcept.com/en-us/p/vienna/402d105-9:0075-14:2063/,BoConcept_catalog/chairs/Vienna_dining_chair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '23¼ ""', 'height': '32¾ ""', 'width': '22½ ""'}",chairs
BC-CH-027,Nawabari armchair,"$3,149.00",https://www.boconcept.com/en-us/p/nawabari/4471001-9:447_leg_low-14:3212/,BoConcept_catalog/chairs/Nawabari_armchair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '40¼ ""', 'height': '32½/17¼ ""', 'width': '36¼ ""'}",chairs
BC-CH-028,Bolzano bench,"$2,449.00",https://www.boconcept.com/en-us/p/bolzano/3791200-14:3320/,BoConcept_catalog/chairs/Bolzano_bench.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray","{'depth': '19 ""', 'height': '16¾ ""', 'width': '63 ""'}",chairs
BC-CH-029,Princeton armchair,"$2,249.00",https://www.boconcept.com/en-us/p/princeton/4061520-9:0075-14:3220/,BoConcept_catalog/chairs/Princeton_armchair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '28 ""', 'height': '27 ""', 'width': '25 ""'}",chairs
BC-CH-030,Tilburg ottoman,"$1,259.00",https://www.boconcept.com/en-us/p/tilburg/4061545-9:0075-14:2063/,BoConcept_catalog/chairs/Tilburg_ottoman.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '19½ ""', 'height': '17 ""', 'width': '23¼ ""'}",chairs
BC-CH-031,Osaka armchair,"$4,539.00",https://www.boconcept.com/en-us/p/osaka/433ca22-9:0129-14:5145/,BoConcept_catalog/chairs/Osaka_armchair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '34½ ""', 'height': '31½/19 ""', 'width': '35½ ""'}",chairs
BC-CH-032,Berne armchair,"$2,319.00",https://www.boconcept.com/en-us/p/berne/4451001-9:0075-14:2058/,BoConcept_catalog/chairs/Berne_armchair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '33½ ""', 'height': '29¼ ""', 'width': '33½ ""'}",chairs
BC-CH-033,Osaka armchair,"$4,539.00",https://www.boconcept.com/en-us/p/osaka/433aa22-9:0129-14:5145/,BoConcept_catalog/chairs/Osaka_armchair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '34½ ""', 'height': '31½/19 ""', 'width': '38¾ ""'}",chairs
BC-CH-034,Veneto chair with swivel function,"$2,369.00",https://www.boconcept.com/en-us/p/veneto/c790015-9:0094-14:2063/,BoConcept_catalog/chairs/Veneto_chair_with_swivel_function.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '30¼ ""', 'height': '29½/16 ""', 'width': '30¼ ""'}",chairs
BC-CH-035,Adelaide armchair,"$2,969.00",https://www.boconcept.com/en-us/p/adelaide/4061410-9:0110-14:3220/,BoConcept_catalog/chairs/Adelaide_armchair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '33¼ ""', 'height': '34¾/17¾ ""', 'width': '34 ""'}",chairs
BC-CH-036,Adelaide armchair,"$1,139.00",https://www.boconcept.com/en-us/p/adelaide/402d085-9:0110-14:2063/,BoConcept_catalog/chairs/Adelaide_armchair.jpg,"Beige, Blue, Yellow, Dark Gray, Green, Red, Brown, White, Black, Gray","{'depth': '24¼ ""', 'height': '28¾/15¼ ""', 'width': '23¾ ""'}",chairs
BC-CH-037,Designer chairs,"$1,449.00",https://www.boconcept.com/en-us/p/princeton/402d172-9:0075-14:3165/,BoConcept_catalog/chairs/Designer_chairs.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",,chairs
BC-CH-038,Adelaide footstool,$639.00,https://www.boconcept.com/en-us/p/adelaide/4061390-9:0110-14:3220/,BoConcept_catalog/chairs/Adelaide_footstool.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '16¾ ""', 'height': '14¾ ""', 'width': '22½ ""'}",chairs
BC-CH-039,Hauge barstool,$499.00,https://www.boconcept.com/en-us/p/hauge/402b024-2:372-9:0702-11:0137/,BoConcept_catalog/chairs/Hauge_barstool.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '18½ ""', 'height': '25¾/29¾ ""', 'width': '18½ ""'}",chairs
BC-CH-040,Adelaide dining chair with swivel function,$749.00,https://www.boconcept.com/en-us/p/adelaide/402d111-9:0022-11:0136/,BoConcept_catalog/chairs/Adelaide_dining_chair_with_swivel_function.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '23 ""', 'height': '33¼ ""', 'width': '23¾ ""'}",chairs
BC-CH-041,Hamilton dining chair with swivel function,$599.00,https://www.boconcept.com/en-us/p/hamilton/402d192-9:0128-11:0135/,BoConcept_catalog/chairs/Hamilton_dining_chair_with_swivel_function.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '21¼ ""', 'height': '30¾ ""', 'width': '20½ ""'}",chairs
BC-CH-042,Adelaide armchair,$589.00,https://www.boconcept.com/en-us/p/adelaide/402d083-9:0110-11:0136/,BoConcept_catalog/chairs/Adelaide_armchair.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '24¼ ""', 'height': '28¾/15¼ ""', 'width': '23¾ ""'}",chairs
