catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
BC-RU-001,Simple rug,"$1,099.00",https://www.boconcept.com/en-us/p/simple/136_170x240-1:52-2:10-18:5/,BoConcept_catalog/rugs/Simple_rug.jpg,,"{'width': '67 ""'}",rugs
BC-RU-002,Designer rugs,"$1,099.00",https://www.boconcept.com/en-us/p/ridge/152_170x240-1:48-2:10-18:5/,BoConcept_catalog/rugs/Designer_rugs.jpg,,,rugs
BC-RU-003,Serge rug,"$2,399.00",https://www.boconcept.com/en-us/p/serge/160_170x240-1:11-2:10/,BoConcept_catalog/rugs/Serge_rug.jpg,,"{'width': '67 ""'}",rugs
BC-RU-004,Sweet Art rug,"$2,249.00",https://www.boconcept.com/en-us/p/sweet-art/166_250-1:126-2:175-18:4/,BoConcept_catalog/rugs/Sweet_Art_rug.jpg,,,rugs
BC-RU-005,Loom rug,"$1,099.00",https://www.boconcept.com/en-us/p/loom/135_170x240-1:75-2:10-18:5/,BoConcept_catalog/rugs/Loom_rug.jpg,,"{'width': '67 ""'}",rugs
BC-RU-006,Tide rug,"$1,599.00",https://www.boconcept.com/en-us/p/tide/145_170x240-1:102-2:10-18:5/,BoConcept_catalog/rugs/Tide_rug.jpg,,"{'width': '67 ""'}",rugs
BC-RU-007,Dimas rug,"$1,449.00",https://www.boconcept.com/en-us/p/dimas/20_150-1:11-2:3-18:4/,BoConcept_catalog/rugs/Dimas_rug.jpg,,,rugs
BC-RU-008,Furrow rug,$949.00,https://www.boconcept.com/en-us/p/furrow/150_150-1:7-2:3-18:4/,BoConcept_catalog/rugs/Furrow_rug.jpg,,,rugs
BC-RU-009,form rug,"$1,749.00",https://www.boconcept.com/en-us/p/form/155_170x240-1:59-2:10-18:5/,BoConcept_catalog/rugs/form_rug.jpg,,"{'width': '67 ""'}",rugs
BC-RU-010,Flora 7 rug,"$3,199.00",https://www.boconcept.com/en-us/p/flora-7/167_200x300-1:8-2:9-18:5/,BoConcept_catalog/rugs/Flora_7_rug.jpg,,"{'width': '78¾ ""'}",rugs
BC-RU-011,Movement rug,$799.00,https://www.boconcept.com/en-us/p/movement/141_170x240-1:32-2:10-18:5/,BoConcept_catalog/rugs/Movement_rug.jpg,,"{'width': '67 ""'}",rugs
BC-RU-012,Scandinavia rug,"$1,299.00",https://www.boconcept.com/en-us/p/scandinavia/137_170x240-1:7-2:10-18:5/,BoConcept_catalog/rugs/Scandinavia_rug.jpg,,"{'width': '67 ""'}",rugs
BC-RU-013,Arena rug,"$1,299.00",https://www.boconcept.com/en-us/p/arena/164_160x175-1:9-2:344-18:4/,BoConcept_catalog/rugs/Arena_rug.jpg,,"{'width': '63 ""'}",rugs
BC-RU-014,Cosmo rug,"$1,449.00",https://www.boconcept.com/en-us/p/cosmo/162_170x240-1:11-2:10-18:5/,BoConcept_catalog/rugs/Cosmo_rug.jpg,,"{'width': '67 ""'}",rugs
BC-RU-015,Structure rug,$799.00,https://www.boconcept.com/en-us/p/structure/156_150-1:117-2:3-18:4/,BoConcept_catalog/rugs/Structure_rug.jpg,,,rugs
BC-RU-016,Moments rug,"$1,749.00",https://www.boconcept.com/en-us/p/moments/163_170x240-1:132-2:10-18:5/,BoConcept_catalog/rugs/Moments_rug.jpg,,"{'width': '67 ""'}",rugs
BC-RU-017,Lure rug,"$1,099.00",https://www.boconcept.com/en-us/p/lure/157_230-1:7-2:5-18:4/,BoConcept_catalog/rugs/Lure_rug.jpg,,,rugs
BC-RU-018,Fiona rug,$799.00,https://www.boconcept.com/en-us/p/fiona/165_150-1:134-2:3-18:4/,BoConcept_catalog/rugs/Fiona_rug.jpg,,,rugs
BC-RU-019,Whirlwind rug,"$1,749.00",https://www.boconcept.com/en-us/p/whirlwind/146_170x240-1:103-2:10-18:5/,BoConcept_catalog/rugs/Whirlwind_rug.jpg,,"{'width': '67 ""'}",rugs
BC-RU-020,Passage rug,"$1,449.00",https://www.boconcept.com/en-us/p/passage/161_170x240-1:7-2:10-18:5/,BoConcept_catalog/rugs/Passage_rug.jpg,,"{'width': '67 ""'}",rugs
BC-RU-021,Random rug,"$2,549.00",https://www.boconcept.com/en-us/p/random/61_170x240-1:7-2:10-18:5/,BoConcept_catalog/rugs/Random_rug.jpg,,"{'width': '67 ""'}",rugs
