catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
BC-SO-001,Aarhus 3-seater sofa,"$4,899.00",https://www.boconcept.com/en-us/p/aarhus/4823001-9:482leg0708-14:3310/,BoConcept_catalog/sofas/Aarhus_3_seater_sofa.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '36 ""', 'height': '30 ""', 'width': '82¾ ""'}",sofas
BC-SO-002,"Aarhus 2,5-seater sofa","$4,399.00",https://www.boconcept.com/en-us/p/aarhus/4822501-9:482leg0708-14:3310/,BoConcept_catalog/sofas/Aarhus_25_seater_sofa.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '36 ""', 'height': '30 ""', 'width': '71 ""'}",sofas
BC-SO-003,Aarhus pouf,"$1,699.00",https://www.boconcept.com/en-us/p/aarhus/4820100-9:482leg0708-14:3310/,BoConcept_catalog/sofas/Aarhus_pouf.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '25¼ ""', 'height': '18 ""', 'width': '32¾ ""'}",sofas
BC-SO-004,Milano corner sofa,"$18,390.00",https://www.boconcept.com/en-us/p/milano/480ah00-14:3331-21:5/,BoConcept_catalog/sofas/Milano_corner_sofa.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '110¼ ""', 'height': '30¾ ""', 'width': '141¾ ""'}",sofas
BC-SO-005,"Modena 2,5 seater","$3,099.00",https://www.boconcept.com/en-us/p/modena/4392501-9:0075-14:3091/,BoConcept_catalog/sofas/Modena_25_seater.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '36 ""', 'height': '28¾ ""', 'width': '73 ""'}",sofas
BC-SO-006,Indivi 2-seater sofa,$999.00,https://www.boconcept.com/en-us/p/indivi/422ab00-10:422_sofaleg_high_0708-14:3233/,BoConcept_catalog/sofas/Indivi_2_seater_sofa.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '36 ""', 'height': '32¾ ""', 'width': '62 ""'}",sofas
BC-SO-007,Bellagio 3-seater sofa,"$5,459.00",https://www.boconcept.com/en-us/p/bellagio/4493001-10:416_sofaleg_1-14:3090/,BoConcept_catalog/sofas/Bellagio_3_seater_sofa.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray","{'depth': '37½ ""', 'height': '27¾ ""', 'width': '96¼ ""'}",sofas
BC-SO-008,Osaka sofa,"$3,079.00",https://www.boconcept.com/en-us/p/osaka/433cd22-10:40104220_2-14:3164/,BoConcept_catalog/sofas/Osaka_sofa.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '34½ ""', 'height': '31½ ""', 'width': '92¼ ""'}",sofas
BC-SO-009,"Bellagio 2,5 seater","$2,739.00",https://www.boconcept.com/en-us/p/bellagio/4492001-10:416_sofaleg_1-14:2110/,BoConcept_catalog/sofas/Bellagio_25_seater.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray","{'depth': '37½ ""', 'height': '27¾ ""', 'width': '79¼ ""'}",sofas
BC-SO-010,Bellagio pouf,"$1,749.00",https://www.boconcept.com/en-us/p/bellagio/4490100-10:416_sofaleg_1-14:3091/,BoConcept_catalog/sofas/Bellagio_pouf.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray","{'depth': '27¼ ""', 'height': '16¾ ""', 'width': '27¼ ""'}",sofas
