catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
BC-TA-001,Kingston extendable dining table,"$1,599.00",https://www.boconcept.com/en-us/p/kingston/370t078-2:309-9:0128-13:0115/,BoConcept_catalog/tables/Kingston_extendable_dining_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '39 ""'}",tables
BC-TA-002,Santiago dining table,"$6,099.00",https://www.boconcept.com/en-us/p/santiago/3705480-2:328-9:0702-13:0715/,BoConcept_catalog/tables/Santiago_dining_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '39¼ ""'}",tables
BC-TA-003,Santiago coffee table,"$1,299.00",https://www.boconcept.com/en-us/p/santiago/370ad42-2:121-9:0702-13:0702/,BoConcept_catalog/tables/Santiago_coffee_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '15¾ ""'}",tables
BC-TA-004,Santiago extendable dining table,"$3,999.00",https://www.boconcept.com/en-us/p/santiago/3706930-9:0708-13:0708/,BoConcept_catalog/tables/Santiago_extendable_dining_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '53¼ ""'}",tables
BC-TA-005,Bornholm coffee table,$449.00,https://www.boconcept.com/en-us/p/bornholm/370ad49-2:360-9:0708-13:0708/,BoConcept_catalog/tables/Bornholm_coffee_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '19¼ ""'}",tables
BC-TA-006,Alicante extendable dining table,"$3,299.00",https://www.boconcept.com/en-us/p/alicante/370t084-2:263-9:0022-13:0115/,BoConcept_catalog/tables/Alicante_extendable_dining_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '39 ""'}",tables
BC-TA-007,Cupertino desk,"$3,249.00",https://www.boconcept.com/en-us/p/cupertino/370t047-9:00750702-13:07020207/,BoConcept_catalog/tables/Cupertino_desk.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '30 ""', 'width': '29¾ ""'}",tables
BC-TA-008,Hauge dining table,"$3,149.00",https://www.boconcept.com/en-us/p/hauge/3705400-2:280-9:0702-13:07020702/,BoConcept_catalog/tables/Hauge_dining_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '39 ""'}",tables
BC-TA-009,Kingston office desk,"$1,199.00",https://www.boconcept.com/en-us/p/kingston/3705700-2:287-9:0128-13:0115/,BoConcept_catalog/tables/Kingston_office_desk.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '24½ ""'}",tables
BC-TA-010,Expose side table,$589.00,https://www.boconcept.com/en-us/p/expose/104_11033600-1:6-2:261/,BoConcept_catalog/tables/Expose_side_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '17¾ ""'}",tables
BC-TA-011,Bornholm dining table,"$1,049.00",https://www.boconcept.com/en-us/p/bornholm/370t088-2:363-9:0702-13:0702/,BoConcept_catalog/tables/Bornholm_dining_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""'}",tables
BC-TA-012,Terracina coffee table,"$1,999.00",https://www.boconcept.com/en-us/p/terracina/3707020-2:339-4:0721/,BoConcept_catalog/tables/Terracina_coffee_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '14¾ ""', 'width': '25¼ ""'}",tables
BC-TA-013,Aarhus side table,$799.00,https://www.boconcept.com/en-us/p/aarhus/3707190-2:397-4:0708/,BoConcept_catalog/tables/Aarhus_side_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '20¼ ""', 'width': '17¾ ""'}",tables
BC-TA-014,Cupertino desk,"$1,749.00",https://www.boconcept.com/en-us/p/cupertino/370t035-2:62-9:00750702-13:07020207/,BoConcept_catalog/tables/Cupertino_desk.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '19 ""'}",tables
BC-TA-015,Ottawa side table,$399.00,https://www.boconcept.com/en-us/p/ottawa/3701660-9:0075-13:0075/,BoConcept_catalog/tables/Ottawa_side_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '21¾ ""', 'width': '21¾ ""'}",tables
BC-TA-016,Billund round dining table,"$1,399.00",https://www.boconcept.com/en-us/p/billund/3704300-2:71-9:00220708-13:0115/,BoConcept_catalog/tables/Billund_round_dining_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'depth': '25¼ ""', 'height': '29½ ""'}",tables
BC-TA-017,Chiva functional coffee table with storage,"$2,799.00",https://www.boconcept.com/en-us/p/chiva/370ad37-2:215-9:0094-13:01670008/,BoConcept_catalog/tables/Chiva_functional_coffee_table_with_storage.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '12¼/17 ""', 'width': '31¾/39½ ""'}",tables
BC-TA-018,Augusta extendable dining table,"$6,199.00",https://www.boconcept.com/en-us/p/augusta/3705170-2:195-9:0075-13:0192/,BoConcept_catalog/tables/Augusta_extendable_dining_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '41¾ ""'}",tables
BC-TA-019,Ottawa extendable dining table,"$4,349.00",https://www.boconcept.com/en-us/p/ottawa/370ov03-2:38-9:0075-13:0702/,BoConcept_catalog/tables/Ottawa_extendable_dining_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '39½ ""'}",tables
BC-TA-020,Nawabari coffee table,"$1,489.00",https://www.boconcept.com/en-us/p/nawabari/370ad44-2:318-9:0075-13:0167/,BoConcept_catalog/tables/Nawabari_coffee_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '17½ ""'}",tables
BC-TA-020,Torino conference/dining table,"$1,049.00",https://www.boconcept.com/en-us/p/torino/370t038-2:43-9:0022-13:0115/,BoConcept_catalog/tables/Torino_conferencedining_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '31½ ""'}",tables
BC-TA-021,Madrid side table,"$1,199.00",https://www.boconcept.com/en-us/p/madrid/370ad38-2:293-9:0022-13:0167/,BoConcept_catalog/tables/Madrid_side_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '20¼ ""'}",tables
BC-TA-022,Madrid side table,$769.00,https://www.boconcept.com/en-us/p/madrid/370ad39-2:293-9:0075-13:0702/,BoConcept_catalog/tables/Madrid_side_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '20¼ ""'}",tables
BC-TA-023,Torino conference/dining table,"$3,389.00",https://www.boconcept.com/en-us/p/torino/370t056-2:77-9:0075-13:0023/,BoConcept_catalog/tables/Torino_conferencedining_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '47¼ ""'}",tables
BC-TA-024,Torino conference table with cable tray,"$4,089.00",https://www.boconcept.com/en-us/p/torino/370t052-2:77-9:0075-13:0023/,BoConcept_catalog/tables/Torino_conference_table_with_cable_tray.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '47¼ ""'}",tables
BC-TA-025,Torino bar table/high table,"$1,269.00",https://www.boconcept.com/en-us/p/torino/370su02-2:171-9:0022-13:0115/,BoConcept_catalog/tables/Torino_bar_tablehigh_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '41 ""', 'width': '31½ ""'}",tables
BC-TA-026,Cancún Café table,$799.00,https://www.boconcept.com/en-us/p/cancún/3000660-2:335-4:0128/,BoConcept_catalog/tables/Cancún_Café_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29¼ ""'}",tables
BC-TA-027,Torino conference/dining table,$699.00,https://www.boconcept.com/en-us/p/torino/370t044-9:0115-13:0022/,BoConcept_catalog/tables/Torino_conferencedining_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '29½ ""', 'width': '31½ ""'}",tables
BC-TA-028,Torino bar table,$799.00,https://www.boconcept.com/en-us/p/torino/370t046-9:0022-13:0115/,BoConcept_catalog/tables/Torino_bar_table.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '41 ""', 'width': '31½ ""'}",tables
