catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
ID-BEN-001,Fiona · Storage Bench,$820,https://www.interiordefine.com/living/all-custom-benches/fiona-custom-upholstered-storage-bench,Fiona_Storage_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-002,Fiona · Leather Storage Bench,$1220,https://www.interiordefine.com/living/all-custom-benches/fiona-custom-leather-storage-bench,Fiona_Leather_Storage_Bench.jpg,"Blue, Red, Mink, Neutral, Green, Black, Warm, Saddle Brown, Brown, Grey, Dark, Cool",N/A,bench
ID-BEN-003,Fiona · Bench,$720,https://www.interiordefine.com/living/all-custom-benches/fiona-custom-upholstered-bench,Fiona_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-004,Fiona · Leather Bench,$1120,https://www.interiordefine.com/living/all-custom-benches/fiona-custom-leather-bench,Fiona_Leather_Bench.jpg,"Blue, Red, Mink, Neutral, Green, Black, Warm, Saddle Brown, Brown, Grey, Dark, Cool",N/A,bench
ID-BEN-005,Rowan · Bench,$495,https://www.interiordefine.com/living/all-custom-benches/rowan-bench,Rowan_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-006,Miller · Bench,$595,https://www.interiordefine.com/living/all-custom-benches/miller-bench,Miller_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-007,Miller · Leather Bench,$995,https://www.interiordefine.com/living/all-custom-benches/miller-leather-bench,Miller_Leather_Bench.jpg,"Blue, Red, Mink, Neutral, Green, Black, Warm, Saddle Brown, White, Grey, Dark, Brown, Cool",N/A,bench
ID-BEN-008,Miller · Storage Bench,$695,https://www.interiordefine.com/living/all-custom-benches/miller-storage-bench,Miller_Storage_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-009,Miller · Leather Storage Bench,$1095,https://www.interiordefine.com/living/all-custom-benches/miller-leather-storage-bench,Miller_Leather_Storage_Bench.jpg,"Blue, Red, Mink, Neutral, Green, Black, Warm, Saddle Brown, White, Grey, Dark, Brown, Cool",N/A,bench
ID-BEN-010,Otto · Bench,$620,https://www.interiordefine.com/living/all-custom-benches/otto-bench,Otto_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Brown, Grey, Saddle Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-011,Otto · Leather Bench,$895,https://www.interiordefine.com/living/all-custom-benches/otto-leather-bench,Otto_Leather_Bench.jpg,"Blue, Red, Mink, Yellow, Neutral, Green, Black, Warm, Saddle Brown, White, Grey, Dark, Brown, Cool",N/A,bench
ID-BEN-012,Hollis · Upholstered Metal Framed Bench,$795,https://www.interiordefine.com/living/all-custom-benches/hollis-fabric-dining-bench,Hollis_Upholstered_Metal_Framed_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-013,Hollis · Leather Metal Framed Bench,$1495,https://www.interiordefine.com/living/all-custom-benches/hollis-leather-dining-bench,Hollis_Leather_Metal_Framed_Bench.jpg,"Blue, Red, Mink, Neutral, Green, Black, Warm, Saddle Brown, Brown, Grey, Dark, Cool",N/A,bench
ID-BEN-014,Dorian · Upholstered Left Banquette with Tufting Option,$1740,https://www.interiordefine.com/living/all-custom-benches/dorian-upholstered-left-facing-banquette,Dorian_Upholstered_Left_Banquette_with_Tufting_Option.png,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-015,Dorian · Slipcovered Left Banquette,$1840,https://www.interiordefine.com/living/all-custom-benches/dorian-slipcovered-left-facing-banquette,Dorian_Slipcovered_Left_Banquette.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Brown, Grey, Saddle Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-016,Dorian · Upholstered Petite Left Banquette with Tufting Option,$1540,https://www.interiordefine.com/living/all-custom-benches/dorian-upholstered-petite-left-facing-banquette,Dorian_Upholstered_Petite_Left_Banquette_with_Tufting_Option.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-017,Dorian · Slipcovered Petite Left Banquette,$1640,https://www.interiordefine.com/living/all-custom-benches/dorian-slipcovered-petite-left-facing-banquette,Dorian_Slipcovered_Petite_Left_Banquette.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Brown, Grey, Saddle Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-018,Dorian · Upholstered Corner Banquette with Tufting Option,$2335,https://www.interiordefine.com/living/all-custom-benches/dorian-upholstered-corner-banquette,Dorian_Upholstered_Corner_Banquette_with_Tufting_Option.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-019,Dorian · Slipcovered Corner Banquette,$2435,https://www.interiordefine.com/living/all-custom-benches/dorian-slipcovered-corner-banquette,Dorian_Slipcovered_Corner_Banquette.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Brown, Grey, Saddle Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-020,Dorian · Upholstered Right Banquette with Tufting Option,$1740,https://www.interiordefine.com/living/all-custom-benches/dorian-upholstered-right-facing-banquette,Dorian_Upholstered_Right_Banquette_with_Tufting_Option.png,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-021,Dorian · Slipcovered Right Banquette,$1840,https://www.interiordefine.com/living/all-custom-benches/dorian-slipcovered-right-facing-banquette,Dorian_Slipcovered_Right_Banquette.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Brown, Grey, Saddle Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-022,Dorian · Upholstered Petite Right Banquette with Tufting Option,$1540,https://www.interiordefine.com/living/all-custom-benches/dorian-upholstered-petite-right-facing-banquette,Dorian_Upholstered_Petite_Right_Banquette_with_Tufting_Option.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-023,Dorian · Slipcovered Petite Right Banquette,$1640,https://www.interiordefine.com/living/all-custom-benches/dorian-slipcovered-petite-right-facing-banquette,Dorian_Slipcovered_Petite_Right_Banquette.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Brown, Grey, Saddle Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-024,Dorian · Upholstered U-Shaped Banquette with Tufting Option,$2835,https://www.interiordefine.com/living/all-custom-benches/dorian-upholstered-u-shaped-banquette,Dorian_Upholstered_U_Shaped_Banquette_with_Tufting_Option.jpeg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-025,Dorian · Slipcovered U-Shaped Banquette,$2935,https://www.interiordefine.com/living/all-custom-benches/dorian-slipcovered-u-shaped-banquette,Dorian_Slipcovered_U_Shaped_Banquette.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Brown, Grey, Saddle Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-026,Dorian · Upholstered Petite Dining Bench with Tufting Option,$695,https://www.interiordefine.com/living/all-custom-benches/dorian-upholstered-petite-dining-bench,Dorian_Upholstered_Petite_Dining_Bench_with_Tufting_Option.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-027,Dorian · Slipcovered Petite Dining Bench,$795,https://www.interiordefine.com/living/all-custom-benches/dorian-slipcovered-petite-dining-bench,Dorian_Slipcovered_Petite_Dining_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Brown, Grey, Saddle Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-028,Dorian · Upholstered Dining Bench with Tufting Option,$795,https://www.interiordefine.com/living/all-custom-benches/dorian-upholstered-dining-bench,Dorian_Upholstered_Dining_Bench_with_Tufting_Option.png,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-029,Dorian · Slipcovered Dining Bench,$895,https://www.interiordefine.com/living/all-custom-benches/dorian-slipcovered-dining-bench,Dorian_Slipcovered_Dining_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Brown, Grey, Saddle Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-030,Dorian · Upholstered Larger Dining Bench with Tufting Option,$1095,https://www.interiordefine.com/living/all-custom-benches/dorian-larger-upholstered-dining-bench,Dorian_Upholstered_Larger_Dining_Bench_with_Tufting_Option.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-031,Dorian · Slipcovered Larger Dining Bench,$1195,https://www.interiordefine.com/living/all-custom-benches/dorian-larger-slipcovered-dining-bench,Dorian_Slipcovered_Larger_Dining_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Brown, Grey, Saddle Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-032,Reeve · Bench,$695,https://www.interiordefine.com/living/all-custom-benches/reeve-bench,Reeve_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Brown, Grey, Saddle Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-033,Reeve · Leather Bench,$995,https://www.interiordefine.com/living/all-custom-benches/reeve-leather-bench,Reeve_Leather_Bench.jpg,"Blue, Red, Mink, Neutral, Green, Black, Warm, Saddle Brown, White, Grey, Dark, Brown, Cool",N/A,bench
ID-BEN-034,Ines · Bench,$595,https://www.interiordefine.com/living/all-custom-benches/ines-bench,Ines_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Saddle Brown, Grey, Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-035,Cade · Wood Framed Upholstered Storage Bench,$795,https://www.interiordefine.com/living/all-custom-benches/cade-storage-bench,Cade_Wood_Framed_Upholstered_Storage_Bench.jpg,"Red, Mink, Yellow, Burlywood, Cream, Blue, Neutral, Black, Brown, Grey, Saddle Brown, Gray, Dark, Roy, Navy, Rosy Brown, Tan, Warm, Light, Beige, Green, White, Cool",N/A,bench
ID-BEN-036,Cade · Leather Wood Framed Upholstered Storage Bench,$995,https://www.interiordefine.com/living/all-custom-benches/cade-storage-leather-bench,Cade_Leather_Wood_Framed_Upholstered_Storage_Bench.jpg,"Blue, Red, Mink, Neutral, Green, Black, Warm, Saddle Brown, White, Grey, Dark, Brown, Cool",N/A,bench
