catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
ID-CHA-001,Maxwell · Accent Chair by Apartment Therapy,$1095,https://www.interiordefine.com/living/all-custom-chairs/maxwell-chair,Maxwell_Accent_Chair_by_Apartment_Therapy.jpg,"Blue, White, Black, Dark, Mink, Grey, Yellow, Saddle Brown, Cream, Rosy Brown, Neutral, Tan, Beige, Cool, Burlywood, Green, Brown, Light, Navy, Roy, Red, Warm, Gray",N/A,chair
ID-CHA-002,Maxwell · Slipcovered Accent Chair by Apartment Therapy,$1195,https://www.interiordefine.com/living/all-custom-chairs/maxwell-slipcovered-accent-chair,Maxwell_Slipcovered_Accent_Chair_by_Apartment_Therapy.jpg,"Blue, White, Black, Dark, Mink, Grey, Yellow, Saddle Brown, Cream, Rosy Brown, Neutral, Tan, Beige, Cool, Burlywood, Green, Brown, Light, Navy, Roy, Red, Warm, Gray",N/A,chair
ID-CHA-003,Maxwell · Leather Accent Chair by Apartment Therapy,$1745,https://www.interiordefine.com/living/all-custom-chairs/maxwell-leather-chair,Maxwell_Leather_Accent_Chair_by_Apartment_Therapy.jpg,"Green, Neutral, Brown, Blue, White, Dark, Cool, Mink, Warm, Black, Grey, Red, Saddle Brown",N/A,chair
ID-CHA-004,Maxwell · Swivel Chair by Apartment Therapy,$1195,https://www.interiordefine.com/living/all-custom-chairs/maxwell-upholstered-swivel-chair,Maxwell_Swivel_Chair_by_Apartment_Therapy.jpg,"Blue, White, Black, Dark, Mink, Grey, Yellow, Saddle Brown, Cream, Rosy Brown, Neutral, Tan, Beige, Cool, Burlywood, Green, Brown, Light, Navy, Roy, Red, Warm, Gray",N/A,chair
ID-CHA-005,Maxwell · Slipcovered Swivel Chair by Apartment Therapy,$1295,https://www.interiordefine.com/living/all-custom-chairs/maxwell-slipcovered-swivel-chair,Maxwell_Slipcovered_Swivel_Chair_by_Apartment_Therapy.jpg,"Blue, White, Black, Dark, Mink, Grey, Yellow, Saddle Brown, Cream, Rosy Brown, Neutral, Tan, Beige, Cool, Burlywood, Green, Brown, Light, Navy, Roy, Red, Warm, Gray",N/A,chair
ID-CHA-006,Maxwell · Leather Swivel Chair by Apartment Therapy,$1845,https://www.interiordefine.com/living/all-custom-chairs/maxwell-leather-upholstered-swivel-chair,Maxwell_Leather_Swivel_Chair_by_Apartment_Therapy.jpg,"Green, Neutral, Brown, Blue, White, Dark, Cool, Mink, Warm, Black, Grey, Red, Saddle Brown",N/A,chair
ID-CHA-007,Sloan · Accent Chair,$920,https://www.interiordefine.com/living/all-custom-chairs/sloan-accent-chair,Sloan_Accent_Chair.jpg,"Blue, White, Dark, Black, Mink, Grey, Yellow, Saddle Brown, Cream, Rosy Brown, Neutral, Tan, Beige, Cool, Burlywood, Green, Brown, Light, Navy, Roy, Red, Warm, Gray",N/A,chair
ID-CHA-008,Sloan · Slipcovered Accent Chair,$1120,https://www.interiordefine.com/living/all-custom-chairs/sloan-slipcovered-accent-chair,Sloan_Slipcovered_Accent_Chair.jpg,"Blue, White, Black, Dark, Mink, Grey, Yellow, Saddle Brown, Cream, Rosy Brown, Neutral, Tan, Beige, Cool, Burlywood, Green, Brown, Light, Navy, Roy, Red, Warm, Gray",N/A,chair
ID-CHA-009,Sloan · Leather Accent Chair,$1595,https://www.interiordefine.com/living/all-custom-chairs/sloan-leather-accent-chair,Sloan_Leather_Accent_Chair.jpg,"Green, Neutral, Brown, Blue, White, Dark, Cool, Mink, Warm, Black, Grey, Red, Saddle Brown",N/A,chair
ID-CHA-010,Sloan · Petite Chair,$820,https://www.interiordefine.com/living/all-custom-chairs/sloan-petite-accent-chair,Sloan_Petite_Chair.jpg,"Blue, White, Dark, Black, Mink, Grey, Yellow, Saddle Brown, Cream, Rosy Brown, Neutral, Tan, Beige, Cool, Burlywood, Green, Brown, Light, Navy, Roy, Red, Warm, Gray",N/A,chair
ID-CHA-011,Sloan · Slipcovered Petite Chair,$1020,https://www.interiordefine.com/living/all-custom-chairs/sloan-slipcovered-petite-accent-chair,Sloan_Slipcovered_Petite_Chair.jpg,"Blue, White, Black, Dark, Mink, Grey, Yellow, Saddle Brown, Cream, Rosy Brown, Neutral, Tan, Beige, Cool, Burlywood, Green, Brown, Light, Navy, Roy, Red, Warm, Gray",N/A,chair
