catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
ID-TAB-001,Matteo · Rectangle Dining Table,$1895,https://www.interiordefine.com/living/all-tables/matteo-custom-rectangle-dining-table,Matteo_Rectangle_Dining_Table.jpg,"White, Red, Black",N/A,table
ID-TAB-002,Matteo · Square Dining Table,$1495,https://www.interiordefine.com/living/all-tables/matteo-custom-square-dining-table,Matteo_Square_Dining_Table.jpg,"White, Red, Black",N/A,table
ID-TAB-003,Matteo · Rectangle Coffee Table with Storage Option,$995,https://www.interiordefine.com/living/all-tables/matteo-custom-rectangle-coffee-table,Matteo_Rectangle_Coffee_Table_with_Storage_Option.jpg,"White, Red, Black",N/A,table
ID-TAB-004,Matteo · Square Coffee Table with Storage Option,$1095,https://www.interiordefine.com/living/all-tables/matteo-custom-square-coffee-table,Matteo_Square_Coffee_Table_with_Storage_Option.jpg,"White, Red, Black",N/A,table
ID-TAB-005,Nina · Round Coffee Table,$795,https://www.interiordefine.com/living/all-tables/nina-custom-round-coffee-table,Nina_Round_Coffee_Table.jpg,"White, Red, Black",N/A,table
ID-TAB-006,Nina · Round Side Table,$395,https://www.interiordefine.com/living/all-tables/nina-custom-round-side-table,Nina_Round_Side_Table.jpg,"White, Red, Black",N/A,table
ID-TAB-007,Houston · Side Table,$685,https://www.interiordefine.com/living/all-tables/houston-side-table,Houston_Side_Table.jpg,Red,N/A,table
ID-TAB-008,Leta · One Drawer Oak Nightstand,$1035,https://www.interiordefine.com/living/all-tables/leta-one-drawer-nightstand,Leta_One_Drawer_Oak_Nightstand.jpg,Red,N/A,table
ID-TAB-009,Redmond · Nightstand,$975,https://www.interiordefine.com/living/all-tables/redmond-nightstand,Redmond_Nightstand.jpg,Red,N/A,table
ID-TAB-010,Griffith · Marble Coffee Table,$1320,https://www.interiordefine.com/living/all-tables/griffith-coffee-table,Griffith_Marble_Coffee_Table.jpeg,"Gray, White, Red",N/A,table
ID-TAB-011,Hendrix · Side Table,$215,https://www.interiordefine.com/living/all-tables/hendrix-side,Hendrix_Side_Table.jpeg,Red,N/A,table
ID-TAB-012,Lydell · Nightstand,$540,https://www.interiordefine.com/living/all-tables/lydell-nightstands,Lydell_Nightstand.jpg,Red,N/A,table
ID-TAB-013,Murray · Side Table,$865,https://www.interiordefine.com/living/all-tables/murray-side-table,Murray_Side_Table.jpg,"White, Red, Black",N/A,table
ID-TAB-014,Flynn · Extendable Dining Table,$1725,https://www.interiordefine.com/living/all-tables/flynn-dining-table,Flynn_Extendable_Dining_Table.jpg,"White, Red, Black",N/A,table
ID-TAB-015,Kyla · Side Table,$285,https://www.interiordefine.com/living/all-tables/kyla-side-table,Kyla_Side_Table.jpg,"White, Red, Cream, Black",N/A,table
ID-TAB-016,Montgomery · Coffee Table,$975,https://www.interiordefine.com/living/all-tables/montgomery-coffee-table,Montgomery_Coffee_Table.jpg,"White, Red, Black",N/A,table
ID-TAB-017,Griffin · Pine Side Table,$1035,https://www.interiordefine.com/living/all-tables/griffin-side-table,Griffin_Pine_Side_Table.jpg,"Red, Black",N/A,table
ID-TAB-018,Sterling · Coffee Table,$1595,https://www.interiordefine.com/living/all-tables/sterling-coffee-table,Sterling_Coffee_Table.jpg,"Green, Gray, Black, White, Red",N/A,table
ID-TAB-019,Elio · Side Table,$855,https://www.interiordefine.com/living/all-tables/elio-side-table,Elio_Side_Table.jpg,"White, Brown, Red",N/A,table
ID-TAB-020,Preston · Aluminum Side Table,$625,https://www.interiordefine.com/living/all-tables/preston-side-table,Preston_Aluminum_Side_Table.jpg,"White, Red",N/A,table
ID-TAB-021,Maya · Coffee Table,$1665,https://www.interiordefine.com/living/all-tables/maya-coffee,Maya_Coffee_Table.jpg,"Brown, Grey, Black, White, Red",N/A,table
ID-TAB-022,Locke · Side Table,$545,https://www.interiordefine.com/living/all-tables/locke-side-table,Locke_Side_Table.jpg,"Brown, Red",N/A,table
ID-TAB-023,Thayer · Iron Side Table,$315,https://www.interiordefine.com/living/all-tables/thayer-side,Thayer_Iron_Side_Table.jpeg,"Gray, Red",N/A,table
ID-TAB-024,Blanche · Side Table,$395,https://www.interiordefine.com/living/all-tables/blanche-side-table,Blanche_Side_Table.jpg,"Gray, White, Red",N/A,table
ID-TAB-025,Belmar · Fruitwood Coffee Table,$1325,https://www.interiordefine.com/living/all-tables/belmar-coffee-table,Belmar_Fruitwood_Coffee_Table.jpg,"White, Red",N/A,table
ID-TAB-026,Felix · Square Natural Walnut Coffee table,$2645,https://www.interiordefine.com/living/all-tables/felix-coffee-tables-natural-walnut-square,Felix_Square_Natural_Walnut_Coffee_table.jpg,"White, Red",N/A,table
ID-TAB-027,Bronte · Iron Coffee Table,$1035,https://www.interiordefine.com/living/all-tables/bronte-coffee-table,Bronte_Iron_Coffee_Table.jpeg,"Red, Gray, Brown, Black",N/A,table
ID-TAB-028,Fitzgerald · Oak and Leather Side Table,$855,https://www.interiordefine.com/living/all-tables/fitzgerald-side-table,Fitzgerald_Oak_and_Leather_Side_Table.jpg,"Red, Black",N/A,table
ID-TAB-029,Conor · Square Stool Ottoman,$345,https://www.interiordefine.com/living/all-tables/conor-square-ottoman,Conor_Square_Stool_Ottoman.jpg,"Roy, Mink, Dark, Navy, Gray, Neutral, Saddle Brown, Blue, Red, Burlywood, Rosy Brown, Beige, Light, Tan, White, Green, Yellow, Brown, Cool, Grey, Cream, Black, Warm",N/A,table
ID-TAB-030,Conor · Leather Square Stool Ottoman,$495,https://www.interiordefine.com/living/all-tables/conor-leather-square-stool-ottoman,Conor_Leather_Square_Stool_Ottoman.jpg,"Green, Brown, Dark, Cool, Mink, Grey, Neutral, Saddle Brown, Black, Blue, Red, Warm",N/A,table
ID-TAB-031,Dewey · Side Table,$1035,https://www.interiordefine.com/living/all-tables/dewey-side-table,Dewey_Side_Table.jpg,"Red, Blue",N/A,table
ID-TAB-032,Sherman · White Wood Side Table,$460,https://www.interiordefine.com/living/all-tables/sherman-side-table,Sherman_White_Wood_Side_Table.jpg,"White, Red",N/A,table
ID-TAB-033,Felix · Round Pine Coffee Table,$2645,https://www.interiordefine.com/living/all-tables/felix-coffee-tables-pine-round,Felix_Round_Pine_Coffee_Table.jpeg,"White, Red",N/A,table
ID-TAB-034,Burch · Drum Coffee Table,$1145,https://www.interiordefine.com/living/all-tables/burch-drum-coffee-table,Burch_Drum_Coffee_Table.jpg,"Green, Yellow, Brown, Grey, Black, Red",N/A,table
ID-TAB-035,Victor · Concrete Coffee Table,$745,https://www.interiordefine.com/living/all-tables/victor-coffee-table,Victor_Concrete_Coffee_Table.jpg,"Gray, Grey, Black, White, Red",N/A,table
ID-TAB-036,Felix · Round Light Walnut Coffee Table,$2645,https://www.interiordefine.com/living/all-tables/felix-coffee-tables-light-walnut-round,Felix_Round_Light_Walnut_Coffee_Table.jpeg,"White, Red",N/A,table
