catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
ID-RUG-001,Klaus · Hand Knotted Rug,$4195,https://www.interiordefine.com/rugs/klaus-geometric-rug-gray,Klaus_Hand_Knotted_Rug.jpg,"White, Red, Gray",N/A,rug
ID-RUG-002,Amira · Machine Washable Rug,$400,https://www.interiordefine.com/rugs/amira-machine-washable-rug,Amira_Machine_Washable_Rug.jpg,"White, Red",N/A,rug
ID-RUG-003,Kiki · Machine Washable Rug,$400,https://www.interiordefine.com/rugs/kiki-machine-washable-rug,Kiki_Machine_Washable_Rug.jpg,"White, Red",N/A,rug
ID-RUG-004,Dotty · Machine Washable Rug,$405,https://www.interiordefine.com/rugs/dotty-machine-washable-rug,Dotty_Machine_Washable_Rug.jpg,"White, Red",N/A,rug
ID-RUG-005,Johanna · Machine Washable Rug,$500,https://www.interiordefine.com/rugs/johanna-machine-washable-rug,Johanna_Machine_Washable_Rug.jpg,"White, Red",N/A,rug
ID-RUG-006,Culver · Hand Knotted Rug,$2160,https://www.interiordefine.com/rugs/culver-beige-geometric-wool-rug,Culver_Hand_Knotted_Rug.jpg,"White, Red, Beige",N/A,rug
ID-RUG-007,Miranda · Hand Knotted Rug,$2840,https://www.interiordefine.com/rugs/miranda-taupe-wool-rug,Miranda_Hand_Knotted_Rug.jpg,"White, Red",N/A,rug
ID-RUG-008,Eliza · Hand Knotted Rug,$3875,https://www.interiordefine.com/rugs/eliza-green-wool-rug,Eliza_Hand_Knotted_Rug.jpg,"White, Red, Green",N/A,rug
ID-RUG-009,Tommy · Hand Woven Rug,$910,https://www.interiordefine.com/rugs/tommy-taupe-jute-rug,Tommy_Hand_Woven_Rug.jpg,"White, Red",N/A,rug
ID-RUG-010,Ulric · Hand Woven Rug,$2515,https://www.interiordefine.com/rugs/ulric-hand-woven-rug,Ulric_Hand_Woven_Rug.jpg,"White, Red, Gray, Cream",N/A,rug
ID-RUG-011,Beth · Machine Washable Rug,$500,https://www.interiordefine.com/rugs/beth-machine-washable-rug-blue,Beth_Machine_Washable_Rug.jpg,"Blue, White, Red",N/A,rug
ID-RUG-012,Edwin · Hand Knotted Rug,$3095,https://www.interiordefine.com/rugs/edwin-moroccan-cream-brown-rug,Edwin_Hand_Knotted_Rug.jpg,"White, Red, Cream",N/A,rug
ID-RUG-013,Gina · Hand Woven Rug,$3450,https://www.interiordefine.com/rugs/gina-moroccan-taupe-rug,Gina_Hand_Woven_Rug.jpg,"White, Red",N/A,rug
ID-RUG-014,Noelle · Hand Knotted Rug,$2885,https://www.interiordefine.com/rugs/noelle-traditional-green-rug,Noelle_Hand_Knotted_Rug.jpg,"White, Red, Green",N/A,rug
ID-RUG-015,Frieda · Hand Knotted Rug,$3050,https://www.interiordefine.com/rugs/frieda-traditional-green-orange-rug,Frieda_Hand_Knotted_Rug.jpg,"White, Red",N/A,rug
ID-RUG-016,Casper · Hand Woven Rug,$720,https://www.interiordefine.com/rugs/casper-jute-rug-beige,Casper_Hand_Woven_Rug.jpg,"White, Red, Beige",N/A,rug
ID-RUG-017,Terry · Hand Woven Rug,$815,https://www.interiordefine.com/rugs/brady-jute-rug-natural,Terry_Hand_Woven_Rug.jpg,"White, Red",N/A,rug
ID-RUG-018,Taylor · Hand woven rug,$1415,https://www.interiordefine.com/rugs/taylor-rug,Taylor_Hand_woven_rug.jpg,"White, Black, Blue, Gray, Red",N/A,rug
ID-RUG-019,Webber · Hand Woven Rug,$1530,https://www.interiordefine.com/rugs/webber-jute-woven-rug-natural,Webber_Hand_Woven_Rug.jpg,"White, Red",N/A,rug
ID-RUG-020,Tabitha · Machine Washable Rug,$500,https://www.interiordefine.com/rugs/tabitha-machine-washable-rug,Tabitha_Machine_Washable_Rug.jpg,"White, Red",N/A,rug
ID-RUG-021,Lawrence · Machine Washable Rug,$500,https://www.interiordefine.com/rugs/lawrence-machine-washable-rug,Lawrence_Machine_Washable_Rug.jpg,"White, Red",N/A,rug
ID-RUG-022,Fulton · Machine Woven Rug,$525,https://www.interiordefine.com/rugs/fulton-machine-woven-rug,Fulton_Machine_Woven_Rug.jpg,"White, Red",N/A,rug
ID-RUG-023,Holten · Hand Woven Rug,$2275,https://www.interiordefine.com/rugs/holten-hand-woven-rug,Holten_Hand_Woven_Rug.jpg,"White, Red, Brown",N/A,rug
ID-RUG-024,Marcella · Hand Crafted Rug,$2575,https://www.interiordefine.com/rugs/marcella-hand-crafted-rug,Marcella_Hand_Crafted_Rug.jpg,"White, Red, Cream",N/A,rug
ID-RUG-025,Franklin · Hand Loomed Rug,$1425,https://www.interiordefine.com/rugs/franklin-hand-loomed-rug,Franklin_Hand_Loomed_Rug.jpg,"Blue, White, Red, Cream",N/A,rug
ID-RUG-026,Dayton · Machine Woven Rug,$585,https://www.interiordefine.com/rugs/dayton-machine-woven-rug,Dayton_Machine_Woven_Rug.jpg,"Blue, White, Red",N/A,rug
ID-RUG-027,Bethanny · Machine Woven Rug,$845,https://www.interiordefine.com/rugs/bethanny-machine-woven-rug,Bethanny_Machine_Woven_Rug.jpg,"White, Red",N/A,rug
ID-RUG-028,Watson · Hand Tufted Rug,$725,https://www.interiordefine.com/rugs/watson-hand-tufted-rug,Watson_Hand_Tufted_Rug.jpg,"White, Red, Beige",N/A,rug
ID-RUG-029,Pryce · Hand Tufted Rug,$725,https://www.interiordefine.com/rugs/pryce-hand-tufted-rug,Pryce_Hand_Tufted_Rug.jpg,"White, Red, Beige",N/A,rug
ID-RUG-030,Bennett · Machine Washable Rug,$345,https://www.interiordefine.com/rugs/bennett-machine-washable-rug,Bennett_Machine_Washable_Rug.jpg,"White, Red, Brown",N/A,rug
ID-RUG-031,Irving · Machine Washable Rug,$345,https://www.interiordefine.com/rugs/irving-machine-washable-rug,Irving_Machine_Washable_Rug.jpg,"White, Red, Brown",N/A,rug
ID-RUG-032,Meyer · Machine Woven Rug,$525,https://www.interiordefine.com/rugs/meyer-machine-woven-rug,Meyer_Machine_Woven_Rug.jpg,"White, Red, Cream",N/A,rug
