catalog_number,item_name,item_type,price,color,image_url,link
HF-BD-001,Briar Lake Bed,bed,$899.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/5-4598-0122?wid=824&hei=551,https://www.havertys.com/products/product-page/briar-lake-bed
HF-BD-002,Ashebrooke Bed,bed,$899.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/5-4590-2445?wid=824&hei=551,https://www.havertys.com/products/product-page/ashebrooke-bed
HF-BD-003,Sherman Panel Bed,bed,$1099.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/5-4598-0003?wid=824&hei=551,https://www.havertys.com/products/product-page/sherman-panel-bed
HF-BD-004,Vickery Creek Bed,bed,$1049.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/5-4598-0013?wid=824&hei=551,https://www.havertys.com/products/product-page/vickery-creek-bed
HF-BD-005,Coastal Retreat Bed,bed,$1099.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/5-4598-0226?wid=824&hei=551,https://www.havertys.com/products/product-page/coastal-retreat-bed
HF-BD-006,Ashford Park Upholstered Bed,bed,$699.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/5-4500-1873?wid=824&hei=551,https://www.havertys.com/products/product-page/ashford-park-upholstered-bed
HF-BD-007,Wesley Bed,bed,$699.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/5-4598-0299?wid=824&hei=551,https://www.havertys.com/products/product-page/wesley-bed
HF-BD-008,Blackburn Bed,bed,$799.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/5-4500-1427?wid=824&hei=551,https://www.havertys.com/products/product-page/blackburn-bed
HF-BD-009,Nantucket Poster Bed,bed,$1399.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/5-4500-1645?wid=824&hei=551,https://www.havertys.com/products/product-page/nantucket-poster-bed
HF-BD-010,Hampton Bed,bed,$1599.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/5-4500-2728?wid=824&hei=551,https://www.havertys.com/products/product-page/hampton-bed
HF-DR-001,Lucy Dresser,dresser,$3999.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3726?wid=824&hei=551,https://www.havertys.com/products/product-page/lucy-dresser
HF-DR-002,Marilyn Dresser,dresser,$1799.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/1-4500-0221?wid=824&hei=551,https://www.havertys.com/products/product-page/marilyn-dresser
HF-DR-003,Sherman Dresser,dresser,$1599.99,Standard finish,,https://www.havertys.com/products/product-page/sherman-dresser
HF-DR-004,Corsica Dresser,dresser,$1499.99,Standard finish,,https://www.havertys.com/products/product-page/corsica-dresser
HF-DR-005,Nantucket Dresser,dresser,$1699.99,Standard finish,,https://www.havertys.com/products/product-page/nantucket-dresser
HF-DR-006,Coastal Retreat Dresser,dresser,$1149.99,Standard finish,,https://www.havertys.com/products/product-page/coastal-retreat-dresser
HF-DR-007,Cascade Dresser,dresser,$1699.99,Standard finish,,https://www.havertys.com/products/product-page/cascade-dresser
HF-DR-008,Breckenridge Dresser,dresser,$1699.99,Standard finish,,https://www.havertys.com/products/product-page/breckenridge-dresser
HF-DR-009,Briar Lake Dresser,dresser,$1399.99,Standard finish,,https://www.havertys.com/products/product-page/briar-lake-dresser
HF-DR-010,Vickery Creek Dresser,dresser,$1399.99,Standard finish,,https://www.havertys.com/products/product-page/vickery-creek-dresser
