catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
HF-BD-001,Briar Lake Bed,$899.99,https://www.havertys.com/products/product-page/briar-lake-bed,https://havertys.scene7.com/is/image/HvtWeb2/5-4598-0122?wid=824&hei=551,,"{'width': '64', 'height': '61', 'depth': '89', 'weight': '250.8 lbs.'}",bed
HF-BD-002,Ashebrooke Bed,$899.99,https://www.havertys.com/products/product-page/ashebrooke-bed,https://havertys.scene7.com/is/image/HvtWeb2/5-4590-2445?wid=824&hei=551,,"{'width': '68', 'height': '58', 'depth': '88', 'weight': '188 lbs.'}",bed
HF-BD-003,Sherman Panel Bed,$1099.99,https://www.havertys.com/products/product-page/sherman-panel-bed,https://havertys.scene7.com/is/image/HvtWeb2/5-4598-0003?wid=824&hei=551,,"{'width': '80', 'height': '60', 'depth': '87', 'weight': '0 lbs.'}",bed
HF-BD-004,Vickery Creek Bed,$1049.99,https://www.havertys.com/products/product-page/vickery-creek-bed,https://havertys.scene7.com/is/image/HvtWeb2/5-4598-0013?wid=824&hei=551,,"{'width': '64', 'height': '62', 'depth': '99', 'weight': '231 lbs.'}",bed
HF-BD-005,Coastal Retreat Bed,$1099.99,https://www.havertys.com/products/product-page/coastal-retreat-bed,https://havertys.scene7.com/is/image/HvtWeb2/5-4598-0226?wid=824&hei=551,,"{'width': '66', 'height': '60', 'depth': '89', 'weight': '174 lbs.'}",bed
HF-BD-006,Ashford Park Upholstered Bed,$699.99,https://www.havertys.com/products/product-page/ashford-park-upholstered-bed,https://havertys.scene7.com/is/image/HvtWeb2/5-4500-1873?wid=824&hei=551,,"{'width': '80.8', 'height': '52', 'depth': '87.8', 'weight': '161 lbs.'}",bed
HF-BD-007,Wesley Bed,$699.99,https://www.havertys.com/products/product-page/wesley-bed,https://havertys.scene7.com/is/image/HvtWeb2/5-4598-0299?wid=824&hei=551,,"{'width': '82', 'height': '60', 'depth': '87', 'weight': '407 lbs.'}",bed
HF-BD-008,Blackburn Bed,$799.99,https://www.havertys.com/products/product-page/blackburn-bed,https://havertys.scene7.com/is/image/HvtWeb2/5-4500-1427?wid=824&hei=551,,"{'width': '85', 'height': '68', 'depth': '92', 'weight': '264.8 lbs.'}",bed
HF-BD-009,Nantucket Poster Bed,$1399.99,https://www.havertys.com/products/product-page/nantucket-poster-bed,https://havertys.scene7.com/is/image/HvtWeb2/5-4500-1645?wid=824&hei=551,,"{'width': '82.3', 'height': '62', 'depth': '82', 'weight': '213.8 lbs.'}",bed
HF-BD-010,Hampton Bed,$1599.99,https://www.havertys.com/products/product-page/hampton-bed,https://havertys.scene7.com/is/image/HvtWeb2/5-4500-2728?wid=824&hei=551,,"{'width': '81.8', 'height': '60', 'depth': '82', 'weight': '205 lbs.'}",bed
