catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
HF-CH-001,Candler Park Chest,$3699.99,https://www.havertys.com/products/product-page/candler-park-chest,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3451?wid=824&hei=551,,"{'width': '55', 'height': '56', 'depth': '20', 'weight': '356 lbs.'}",chest
HF-CH-002,Briar Lake Door Chest,$1499.99,https://www.havertys.com/products/product-page/briar-lake-door-chest,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3128?wid=824&hei=551,,"{'width': '54', 'height': '48', 'depth': '18', 'weight': '264 lbs.'}",chest
HF-CH-003,Veranda Chest,$1299.99,https://www.havertys.com/products/product-page/veranda-chest,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3266?wid=824&hei=551,,"{'width': '42', 'height': '56', 'depth': '18', 'weight': '78 lbs.'}",chest
HF-CH-004,Ashebrooke Chest,$799.99,https://www.havertys.com/products/product-page/ashebrooke-chest,https://havertys.scene7.com/is/image/HvtWeb2/1-4500-0641?wid=824&hei=551,,"{'width': '40', 'height': '54', 'depth': '19', 'weight': '174 lbs.'}",chest
HF-CH-005,Westhaven Bachelor Chest,$799.99,https://www.havertys.com/products/product-page/westhaven-bachelor-chest,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3830?wid=824&hei=551,,"{'width': '34', 'height': '32', 'depth': '18', 'weight': '151.1 lbs.'}",chest
HF-CH-006,Blackburn Master Chest,$2499.99,https://www.havertys.com/products/product-page/blackburn-master-chest,,,{},chest
HF-CH-007,Hyde Park Master Chest,$2899.99,https://www.havertys.com/products/product-page/hyde-park-master-chest,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3179?wid=824&hei=551,,"{'width': '54', 'height': '44', 'depth': '20', 'weight': '300.5 lbs.'}",chest
HF-CH-008,Corsica Drawer Chest,$1299.99,https://www.havertys.com/products/product-page/corsica-drawer-chest,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3781?wid=824&hei=551,,"{'width': '40', 'height': '56', 'depth': '18', 'weight': '160.6 lbs.'}",chest
HF-CH-009,Hyde Park Bachelor Chest,$1499.99,https://www.havertys.com/products/product-page/hyde-park-bachelor-chest,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3196?wid=824&hei=551,,"{'width': '38', 'height': '30', 'depth': '19', 'weight': '144.8 lbs.'}",chest
HF-CH-010,Breckenridge Master Chest,$2099.99,https://www.havertys.com/products/product-page/breckenridge-master-chest,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3333?wid=824&hei=551,,"{'width': '64', 'height': '59', 'depth': '19', 'weight': '330 lbs.'}",chest
