catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
HF-DR-001,Lucy Dresser,$3999.99,https://www.havertys.com/products/product-page/lucy-dresser,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3726?wid=824&hei=551,,"{'width': '68', 'height': '38', 'depth': '21', 'weight': '201 lbs.'}",dresser
HF-DR-002,Marilyn Dresser,$1799.99,https://www.havertys.com/products/product-page/marilyn-dresser,https://havertys.scene7.com/is/image/HvtWeb2/1-4500-0221?wid=824&hei=551,,{},dresser
HF-DR-003,Sherman Dresser,$1599.99,https://www.havertys.com/products/product-page/sherman-dresser,,,{},dresser
HF-DR-004,Corsica Dresser,$1499.99,https://www.havertys.com/products/product-page/corsica-dresser,,,{},dresser
HF-DR-005,Nantucket Dresser,$1699.99,https://www.havertys.com/products/product-page/nantucket-dresser,,,{},dresser
HF-DR-006,Coastal Retreat Dresser,$1149.99,https://www.havertys.com/products/product-page/coastal-retreat-dresser,,,{},dresser
HF-DR-007,Cascade Dresser,$1699.99,https://www.havertys.com/products/product-page/cascade-dresser,,,{},dresser
HF-DR-008,Breckenridge Dresser,$1699.99,https://www.havertys.com/products/product-page/breckenridge-dresser,,,{},dresser
HF-DR-009,Briar Lake Dresser,$1399.99,https://www.havertys.com/products/product-page/briar-lake-dresser,,,{},dresser
HF-DR-010,Vickery Creek Dresser,$1399.99,https://www.havertys.com/products/product-page/vickery-creek-dresser,,,{},dresser
