catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
HF-NS-001,Coastal Retreat Nightstand,$499.99,https://www.havertys.com/products/product-page/coastal-retreat-nightstand,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3458?wid=824&hei=551,,"{'width': '29', 'height': '29', 'depth': '18', 'weight': '78 lbs.'}",nightstand
HF-NS-002,Blackburn Nightstand,$599.99,https://www.havertys.com/products/product-page/blackburn-nightstand,https://havertys.scene7.com/is/image/HvtWeb2/1-4500-0272?wid=824&hei=551,,"{'width': '28', 'height': '30', 'depth': '18', 'weight': '70.5 lbs.'}",nightstand
HF-NS-003,Marilyn Nightstand,$899.99,https://www.havertys.com/products/product-page/marilyn-nightstand,https://havertys.scene7.com/is/image/HvtWeb2/1-4500-0223?wid=824&hei=551,,"{'width': '32', 'height': '30', 'depth': '18', 'weight': '90.9 lbs.'}",nightstand
HF-NS-004,Nantucket Open Nightstand,$499.99,https://www.havertys.com/products/product-page/nantucket-open-nightstand,https://havertys.scene7.com/is/image/HvtWeb2/1-4500-0316?wid=824&hei=551,,"{'width': '28', 'height': '29', 'depth': '18', 'weight': '48.5 lbs.'}",nightstand
HF-NS-005,Hyde Park Nightstand,$1299.99,https://www.havertys.com/products/product-page/hyde-park-nightstand,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3197?wid=824&hei=551,,"{'width': '34', 'height': '30', 'depth': '18', 'weight': '131 lbs.'}",nightstand
HF-NS-006,Coastal Retreat Open Nightstand,$449.99,https://www.havertys.com/products/product-page/coastal-retreat-open-nightstand,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3459?wid=824&hei=551,,"{'width': '29', 'height': '29', 'depth': '18', 'weight': '53 lbs.'}",nightstand
HF-NS-007,Grayson Nightstand,$329.99,https://www.havertys.com/products/product-page/grayson-nightstand,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-2973?wid=824&hei=551,,"{'width': '25', 'height': '23', 'depth': '16', 'weight': '59.5 lbs.'}",nightstand
HF-NS-008,Candler Park Leg Nightstand,$999.99,https://www.havertys.com/products/product-page/candler-park-leg-nightstand,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3452?wid=824&hei=551,,"{'width': '34', 'height': '30', 'depth': '19', 'weight': '110 lbs.'}",nightstand
HF-NS-009,Vickery Creek Nightstand,$549.99,https://www.havertys.com/products/product-page/vickery-creek-nightstand,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3586?wid=824&hei=551,,"{'width': '26', 'height': '28', 'depth': '17', 'weight': '77 lbs.'}",nightstand
HF-NS-010,Corsica Nightstand,$699.99,https://www.havertys.com/products/product-page/corsica-nightstand,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3780?wid=824&hei=551,,"{'width': '28', 'height': '29', 'depth': '17', 'weight': '82.5 lbs.'}",nightstand
