catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
HF-SF-001,Sandy Sofa,$1199.99,https://www.havertys.com/products/product-page/sandy-sofa,https://havertys.scene7.com/is/image/HvtWeb2/1-2500-8297?wid=824&hei=551,,"{'width': '90', 'height': '38', 'depth': '39', 'weight': '194 lbs.'}",sofa
HF-SF-002,Centennial Sofa,$1999.99,https://www.havertys.com/products/product-page/centennial-sofa,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-0273?wid=824&hei=551,,"{'width': '91', 'height': '34', 'depth': '38', 'weight': '137 lbs.'}",sofa
HF-SF-003,Jubilee 88 Inch 2 Seat Sofa,$1699.99,https://www.havertys.com/products/product-page/jubilee-88-inch-2-seat-sofa,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-4958?wid=824&hei=551,,"{'width': '88', 'height': '37', 'depth': '37', 'weight': '135 lbs.'}",sofa
HF-SF-004,Kensington Power Sofa,$2699.99,https://www.havertys.com/products/product-page/kensington-power-sofa,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-5134?wid=824&hei=551,,"{'width': '84', 'height': '40', 'depth': '41', 'weight': '263 lbs.'}",sofa
HF-SF-005,Apollo Power Sofa,$2299.99,https://www.havertys.com/products/product-page/apollo-power-sofa,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-0866?wid=824&hei=551,,"{'width': '83', 'height': '41', 'depth': '39.8', 'weight': '237 lbs.'}",sofa
HF-SF-006,Jenna Sofa,$999.99,https://www.havertys.com/products/product-page/jenna-sofa,https://havertys.scene7.com/is/image/HvtWeb2/1-2500-9911?wid=824&hei=551,,"{'width': '83', 'height': '39', 'depth': '37', 'weight': '145 lbs.'}",sofa
HF-SF-007,Paris Sofa,$1299.99,https://www.havertys.com/products/product-page/paris-sofa,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-4298?wid=824&hei=551,,"{'width': '84', 'height': '38', 'depth': '41', 'weight': '210 lbs.'}",sofa
HF-SF-008,Sandy Sleeper,$1699.99,https://www.havertys.com/products/product-page/sandy-sleeper,https://havertys.scene7.com/is/image/HvtWeb2/0-3000-2412?wid=824&hei=551,,"{'width': '90', 'height': '38', 'depth': '38', 'weight': '267 lbs.'}",sofa
HF-SF-009,Ava Sofa,$2699.99,https://www.havertys.com/products/product-page/ava-sofa,https://havertys.scene7.com/is/image/HvtWeb2/1-2500-9726?wid=824&hei=551,,"{'width': '80', 'height': '41', 'depth': '41', 'weight': '227 lbs.'}",sofa
HF-SF-010,Lillian 82 Inch 2 Seat Queen Sleeper Sofa,$3299.99,https://www.havertys.com/products/product-page/lillian-82-inch-2-seat-queen-sleeper-sofa,https://havertys.scene7.com/is/image/HvtWeb2/0-3000-2989?wid=824&hei=551,,"{'width': '82', 'height': '37', 'depth': '37', 'weight': '180 lbs.'}",sofa
