query_number,image_name,rank,catalog_number,similarity_score,item_name,item_type,description
1,rug_extracted_grayscale.png,1,IMG-RUGS-204,0.87851727,,,
1,rug_extracted_grayscale.png,2,IMG-RUGS-214,0.85625273,,,
1,rug_extracted_grayscale.png,3,IMG-RUGS-209,0.84336859,,,
1,rug_extracted_grayscale.png,4,IMG-RUGS-211,0.832623541,,,
1,rug_extracted_grayscale.png,5,IMG-RUGS-222,0.82985121,,,
1,lamp_extracted_grayscale.png,1,IMG-LIGHTING-180,0.844594,,,
1,lamp_extracted_grayscale.png,2,IMG-LIGHTING-178,0.835162163,,,
1,lamp_extracted_grayscale.png,3,IMG-LIGHTING-182,0.813248634,,,
1,lamp_extracted_grayscale.png,4,IMG-LIGHTING-160,0.798068047,,,
1,lamp_extracted_grayscale.png,5,IMG-LIGHTING-170,0.797480583,,,
1,sofa_extracted_grayscale.png,1,IMG-SOFAS-013,0.893400252,,,
1,sofa_extracted_grayscale.png,2,IMG-SOFAS-015,0.882623732,,,
1,sofa_extracted_grayscale.png,3,IMG-BENCHES-132,0.869497359,,,
1,sofa_extracted_grayscale.png,4,IMG-BENCHES-116,0.863285184,,,
1,sofa_extracted_grayscale.png,5,IMG-SOFAS-029,0.860381186,,,
1,table_extracted_grayscale.png,1,IMG-TABLES-108,0.859927177,,,
1,table_extracted_grayscale.png,2,IMG-TABLES-110,0.852045059,,,
1,table_extracted_grayscale.png,3,IMG-TABLES-102,0.847797394,,,
1,table_extracted_grayscale.png,4,IMG-TABLES-091,0.847084045,,,
1,table_extracted_grayscale.png,5,IMG-TABLES-098,0.843826354,,,
