combination_rank,total_price,total_similarity,budget_remaining,furniture_type,catalog_number,similarity_score,item_rank,price
1,6780.0,4.423385859,3220.0,rug,ID-RUG-007,0.845764041,1,2840.0
1,6780.0,4.423385859,3220.0,lamp,ID-LIG-020,0.909713864,1,640.0
1,6780.0,4.423385859,3220.0,chair,ID-CHA-010,0.908889771,1,820.0
1,6780.0,4.423385859,3220.0,sofa,ID-SOF-025,0.932037473,1,1445.0
1,6780.0,4.423385859,3220.0,table,ID-NIG-001,0.82698071,1,1035.0
2,6780.0,4.423385859,3220.0,rug,ID-RUG-007,0.845764041,1,2840.0
2,6780.0,4.423385859,3220.0,lamp,ID-LIG-020,0.909713864,1,640.0
2,6780.0,4.423385859,3220.0,chair,ID-CHA-010,0.908889771,1,820.0
2,6780.0,4.423385859,3220.0,sofa,ID-SOF-025,0.932037473,1,1445.0
2,6780.0,4.423385859,3220.0,table,ID-TAB-008,0.82698071,2,1035.0
3,7555.0,4.423340088,2445.0,rug,ID-RUG-007,0.845764041,1,2840.0
3,7555.0,4.423340088,2445.0,lamp,ID-LIG-020,0.909713864,1,640.0
3,7555.0,4.423340088,2445.0,chair,ID-CHA-031,0.908844,2,1595.0
3,7555.0,4.423340088,2445.0,sofa,ID-SOF-025,0.932037473,1,1445.0
3,7555.0,4.423340088,2445.0,table,ID-NIG-001,0.82698071,1,1035.0
4,7555.0,4.423340088,2445.0,rug,ID-RUG-007,0.845764041,1,2840.0
4,7555.0,4.423340088,2445.0,lamp,ID-LIG-020,0.909713864,1,640.0
4,7555.0,4.423340088,2445.0,chair,ID-CHA-031,0.908844,2,1595.0
4,7555.0,4.423340088,2445.0,sofa,ID-SOF-025,0.932037473,1,1445.0
4,7555.0,4.423340088,2445.0,table,ID-TAB-008,0.82698071,2,1035.0
5,4665.0,4.421005428,5335.0,rug,ID-RUG-029,0.84338361,2,725.0
5,4665.0,4.421005428,5335.0,lamp,ID-LIG-020,0.909713864,1,640.0
5,4665.0,4.421005428,5335.0,chair,ID-CHA-010,0.908889771,1,820.0
5,4665.0,4.421005428,5335.0,sofa,ID-SOF-025,0.932037473,1,1445.0
5,4665.0,4.421005428,5335.0,table,ID-NIG-001,0.82698071,1,1035.0
6,4665.0,4.421005428,5335.0,rug,ID-RUG-029,0.84338361,2,725.0
6,4665.0,4.421005428,5335.0,lamp,ID-LIG-020,0.909713864,1,640.0
6,4665.0,4.421005428,5335.0,chair,ID-CHA-010,0.908889771,1,820.0
